scoreline,total_count,atp_count,wta_count
3-6 7-6 7-5,139,88,51
6-2 1-6 6-3,139,66,73
6-7 7-5 6-2,139,69,70
1-6 6-2 6-4,137,53,84
4-6 6-4 6-0,137,64,73
6-1 4-6 6-1,137,52,85
7-5 6-7 6-3,137,80,57
2-6 6-4 7-5,136,59,77
6-7 6-1 6-3,136,69,67
7-6 5-7 6-4,136,94,42
4-6 6-1 7-5,135,63,72
6-3 2-6 6-1,135,49,86
6-3 6-7 7-5,135,79,56
1-6 7-6 6-4,134,85,49
3-6 6-3 6-0,133,67,66
7-6 1-6 6-3,133,76,57
3-6 6-2 7-6,132,75,57
4-6 6-1 7-6,132,77,55
6-3 2-6 7-5,132,70,62
7-5 2-6 6-3,132,66,66
2-6 6-1 6-2,131,52,79
2-6 6-4 7-6,130,73,57
6-2 2-6 6-1,130,43,87
6-2 6-7 7-6,130,89,41
6-4 5-7 7-6,129,82,47
6-7 7-6 7-5,129,99,30
4-6 7-5 7-6,128,95,33
6-1 2-6 6-4,127,51,76
6-1 6-7 6-4,127,61,66
6-7 6-2 7-6,126,94,32
6-7 7-6 6-1,125,84,41
2-6 6-1 6-3,123,48,75
2-6 7-5 6-2,122,54,68
4-6 6-0 6-3,122,59,63
5-7 6-2 6-1,122,45,77
6-1 2-6 6-2,122,37,85
1-6 7-5 6-3,121,50,71
6-4 1-6 6-1,121,56,65
7-5 3-6 6-1,121,55,66
7-5 6-7 6-2,121,58,63
7-6 1-6 6-4,121,70,51
4-6 7-5 7-5,120,48,72
5-7 6-1 6-2,120,48,72
7-5 5-7 6-3,119,60,59
6-1 2-6 6-3,118,45,73
6-4 1-6 7-6,117,72,45
6-3 3-6 6-0,116,47,69
6-3 4-6 6-0,116,48,68
4-6 6-2 6-0,115,35,80
5-7 6-4 7-6,115,74,41
6-1 5-7 6-4,115,61,54
7-5 5-7 6-4,115,63,52
5-7 6-3 7-6,114,70,44
6-1 6-7 6-2,114,60,54
6-3 5-7 7-5,114,61,53
6-4 5-7 7-5,114,53,61
5-7 6-4 7-5,112,54,58
6-1 1-6 6-3,112,61,51
7-6 2-6 7-6,112,83,29
3-6 6-1 7-6,111,70,41
6-1 5-7 6-3,111,45,66
7-5 3-6 7-6,111,82,29
2-6 7-6 6-1,110,58,52
5-7 7-6 6-2,110,66,44
6-1 3-6 7-6,110,67,43
6-3 5-7 6-1,110,55,55
6-7 6-1 6-1,110,56,54
6-7 7-5 6-1,110,55,55
5-7 6-1 6-3,109,40,69
5-7 6-1 6-4,109,66,43
6-7 7-5 7-6,109,79,30
5-7 7-5 6-3,108,56,52
5-7 7-5 6-4,108,59,49
6-3 1-6 6-1,108,49,59
1-6 6-4 6-1,107,39,68
3-6 7-5 7-6,107,74,33
6-2 2-6 7-6,107,56,51
6-3 5-7 7-6,107,75,32
7-5 4-6 7-5,107,53,54
6-1 4-6 7-5,106,50,56
2-6 7-6 7-6,105,77,28
3-6 7-5 7-5,105,45,60
2-6 6-2 7-5,104,37,67
6-2 6-7 7-5,104,57,47
1-6 7-6 6-3,103,63,40
6-1 5-7 6-2,103,44,59
6-2 1-6 6-4,103,33,70
3-6 6-1 7-5,102,48,54
4-6 6-0 6-2,102,37,65
6-4 1-6 7-5,102,51,51
7-5 4-6 7-6,101,66,35
7-6 2-6 6-2,101,55,46
1-6 6-1 6-4,99,46,53
1-6 7-6 6-2,99,58,41
6-3 1-6 7-6,99,69,30
1-6 6-2 6-2,98,38,60
1-6 7-5 6-4,98,43,55
6-2 2-6 7-5,98,41,57
6-4 4-6 6-0,98,44,54
6-4 5-7 6-1,98,45,53
7-6 6-7 7-5,98,70,28
2-6 6-1 6-1,96,27,69
6-2 5-7 6-1,96,32,64
6-4 3-6 6-0,96,45,51
6-0 4-6 6-3,95,46,49
2-6 6-2 7-6,94,51,43
6-1 3-6 7-5,94,46,48
1-6 6-3 6-1,93,30,63
5-7 7-5 6-2,93,41,52
3-6 6-0 6-3,92,47,45
3-6 6-2 6-0,92,25,67
4-6 6-1 6-0,92,29,63
6-7 6-2 7-5,92,56,36
7-6 5-7 7-6,92,74,18
7-6 5-7 6-2,91,61,30
6-3 1-6 7-5,90,43,47
7-5 6-7 6-1,90,43,47
2-6 7-5 6-1,89,30,59
5-7 6-1 6-1,89,38,51
5-7 6-3 7-5,89,54,35
7-5 3-6 7-5,89,42,47
1-6 6-3 7-6,88,54,34
7-6 6-7 6-1,88,59,29
1-6 6-4 7-6,87,43,44
4-6 7-6 6-0,86,50,36
2-6 7-6 7-5,85,51,34
7-6 2-6 6-1,85,48,37
6-1 1-6 6-4,84,30,54
5-7 7-6 7-6,83,58,25
6-7 6-3 6-0,83,40,43
2-6 6-1 7-5,82,36,46
5-7 6-2 7-5,82,43,39
6-1 2-6 6-1,82,28,54
6-1 6-7 6-1,82,34,48
7-5 1-6 6-4,82,31,51
6-7 6-4 6-0,81,52,29
7-5 1-6 6-3,81,37,44
4-6 6-0 6-4,80,29,51
7-5 6-7 7-6,80,57,23
1-6 6-1 6-2,79,35,44
1-6 7-5 6-1,79,27,52
2-6 6-3 6-0,79,19,60
7-5 2-6 6-2,79,33,46
5-7 7-6 6-1,77,45,32
6-0 3-6 6-3,77,33,44
6-1 4-6 7-6,77,38,39
6-1 6-7 7-6,77,55,22
6-2 1-6 6-2,77,28,49
6-2 4-6 6-0,77,28,49
1-6 6-3 7-5,76,39,37
6-1 3-6 6-0,76,23,53
6-7 6-1 7-5,76,40,36
1-6 6-1 6-3,75,28,47
6-2 5-7 7-5,75,25,50
6-2 5-7 7-6,75,49,26
4-6 6-0 6-1,74,23,51
7-6 2-6 7-5,74,40,34
5-7 6-2 7-6,73,42,31
5-7 7-5 6-1,73,35,38
7-5 5-7 6-2,72,37,35
1-6 7-5 6-2,71,24,47
2-6 6-4 6-0,71,25,46
3-6 6-0 6-1,71,30,41
1-6 6-2 6-1,70,21,49
6-1 1-6 6-1,70,24,46
2-6 6-1 7-6,69,34,35
6-0 4-6 6-1,69,23,46
7-6 1-6 6-2,69,36,33
1-6 7-6 7-6,68,41,27
6-2 3-6 6-0,68,21,47
6-7 6-2 6-0,68,33,35
2-6 7-5 7-6,67,41,26
3-6 6-0 6-2,67,27,40
4-6 7-5 6-0,67,29,38
6-2 1-6 6-1,67,23,44
7-5 2-6 6-1,67,26,41
7-5 2-6 7-5,67,28,39
1-6 6-4 7-5,66,29,37
2-6 7-5 7-5,66,27,39
3-6 7-6 6-0,66,32,34
5-7 6-3 6-0,66,28,38
6-0 4-6 6-2,66,28,38
6-7 6-0 6-2,66,27,39
0-6 6-4 6-4,65,28,37
7-5 6-7 7-5,65,34,31
6-4 0-6 6-4,64,28,36
2-6 6-2 6-0,62,20,42
3-6 6-1 6-0,62,22,40
7-6 1-6 6-1,62,35,27
6-1 6-7 7-5,61,34,27
3-6 7-5 6-0,60,20,40
6-2 1-6 7-6,60,33,27
0-6 6-4 6-3,59,24,35
1-6 7-6 7-5,59,29,30
5-7 6-4 6-0,59,19,40
6-7 6-0 6-3,59,30,29
6-7 6-1 7-6,59,39,20
7-5 1-6 6-2,59,20,39
7-6 1-6 7-5,59,34,25
1-6 6-2 7-6,58,31,27
3-6 6-0 6-4,58,24,34
6-2 1-6 7-5,58,21,37
7-5 4-6 6-0,58,25,33
2-6 6-0 6-3,57,20,37
6-0 3-6 6-2,57,16,41
6-0 4-6 6-4,57,23,34
0-6 6-3 6-4,55,18,37
1-6 6-2 7-5,54,22,32
6-0 6-7 6-2,54,23,31
6-3 6-7 6-0,54,29,25
7-6 5-7 7-5,54,35,19
5-7 7-5 7-5,53,25,28
6-1 2-6 7-5,53,20,33
6-1 5-7 7-6,53,26,27
6-3 0-6 6-4,53,21,32
6-4 6-7 6-0,53,25,28
0-6 6-3 6-3,52,18,34
7-5 2-6 7-6,52,34,18
7-6 5-7 6-1,52,28,24
1-6 6-1 6-1,51,19,32
6-1 1-6 6-2,51,19,32
6-1 4-6 6-0,51,23,28
6-1 5-7 6-1,51,17,34
6-2 6-7 6-0,51,22,29
6-7 7-5 7-5,51,25,26
6-7 7-6 6-0,51,30,21
0-6 6-4 6-2,50,28,22
5-7 7-6 7-5,50,31,19
6-0 3-6 6-4,50,17,33
6-3 1-6 6-0,50,23,27
6-3 2-6 6-0,50,21,29
6-4 0-6 6-2,50,21,29
6-7 6-0 6-4,50,29,21
7-5 5-7 7-5,50,21,29
7-6 1-6 7-6,50,35,15
2-6 6-0 6-4,49,23,26
6-0 6-7 6-4,49,19,30
5-7 7-5 7-6,48,25,23
1-6 7-5 7-6,47,29,18
6-0 2-6 6-4,47,19,28
6-1 5-7 7-5,47,16,31
6-3 0-6 6-3,47,15,32
7-5 5-7 7-6,47,29,18
2-6 6-0 6-2,46,10,36
2-6 6-1 6-0,46,14,32
1-6 6-2 6-0,45,20,25
1-6 7-6 6-1,45,22,23
5-7 6-1 6-0,45,13,32
1-6 6-4 6-0,44,15,29
2-6 7-6 6-0,44,23,21
2-6 6-0 6-1,43,13,30
5-7 6-1 7-5,43,19,24
6-1 2-6 7-6,43,22,21
6-3 0-6 6-2,43,17,26
7-5 5-7 6-1,43,16,27
0-6 6-2 6-4,42,13,29
1-6 7-5 7-5,42,20,22
5-7 6-2 6-0,42,14,28
6-0 3-6 6-1,42,12,30
6-2 0-6 6-3,42,12,30
0-6 6-3 6-2,41,12,29
1-6 6-1 7-5,41,19,22
5-7 6-0 6-1,41,13,28
6-0 2-6 6-3,41,23,18
6-0 6-7 6-3,41,16,25
7-5 0-6 6-4,41,25,16
7-5 1-6 7-6,41,22,19
6-4 5-7 6-0,40,12,28
7-6 3-6 6-0,40,21,19
7-6 4-6 6-0,40,21,19
5-7 6-0 6-3,39,18,21
6-2 0-6 6-4,39,17,22
1-6 6-1 7-6,38,23,15
2-6 7-5 6-0,38,18,20
6-0 2-6 6-2,38,11,27
6-1 1-6 7-5,38,14,24
6-1 6-7 6-0,38,16,22
4-6 6-0 7-5,37,14,23
