scoreline,first_set,is_straight_sets,num_sets,set1_score,set2_score,set3_score,observed_all_time,observed_2024,count_all_time,count_atp_all_time,count_wta_all_time,count_2024,count_atp_2024,count_wta_2024
4-6 7-5 6-1,4-6,FALSE,3,4-6,7-5,6-1,TRUE,FALSE,203,85,118,0,0,0
5-7 7-5 6-1,5-7,FALSE,3,5-7,7-5,6-1,TRUE,TRUE,73,35,38,1,1,0
6-7 7-5 6-1,6-7,FALSE,3,6-7,7-5,6-1,TRUE,TRUE,110,55,55,1,1,0
0-6 7-6 6-1,0-6,FALSE,3,0-6,7-6,6-1,TRUE,FALSE,23,8,15,0,0,0
1-6 7-6 6-1,1-6,FALSE,3,1-6,7-6,6-1,TRUE,FALSE,45,22,23,0,0,0
2-6 7-6 6-1,2-6,FALSE,3,2-6,7-6,6-1,TRUE,FALSE,110,58,52,0,0,0
3-6 7-6 6-1,3-6,FALSE,3,3-6,7-6,6-1,TRUE,TRUE,164,80,84,2,1,1
4-6 7-6 6-1,4-6,FALSE,3,4-6,7-6,6-1,TRUE,TRUE,180,103,77,2,1,1
5-7 7-6 6-1,5-7,FALSE,3,5-7,7-6,6-1,TRUE,TRUE,77,45,32,2,1,1
6-7 7-6 6-1,6-7,FALSE,3,6-7,7-6,6-1,TRUE,TRUE,125,84,41,3,1,2
0-6 6-0 6-2,0-6,FALSE,3,0-6,6-0,6-2,TRUE,FALSE,4,3,1,0,0,0
1-6 6-0 6-2,1-6,FALSE,3,1-6,6-0,6-2,TRUE,FALSE,28,7,21,0,0,0
2-6 6-0 6-2,2-6,FALSE,3,2-6,6-0,6-2,TRUE,TRUE,46,10,36,2,0,2
3-6 6-0 6-2,3-6,FALSE,3,3-6,6-0,6-2,TRUE,FALSE,67,27,40,0,0,0
4-6 6-0 6-2,4-6,FALSE,3,4-6,6-0,6-2,TRUE,TRUE,102,37,65,4,1,3
5-7 6-0 6-2,5-7,FALSE,3,5-7,6-0,6-2,TRUE,FALSE,28,12,16,0,0,0
6-7 6-0 6-2,6-7,FALSE,3,6-7,6-0,6-2,TRUE,TRUE,66,27,39,1,0,1
0-6 6-1 6-2,0-6,FALSE,3,0-6,6-1,6-2,TRUE,FALSE,21,7,14,0,0,0
1-6 6-1 6-2,1-6,FALSE,3,1-6,6-1,6-2,TRUE,FALSE,79,35,44,0,0,0
2-6 6-1 6-2,2-6,FALSE,3,2-6,6-1,6-2,TRUE,TRUE,131,52,79,2,1,1
3-6 6-1 6-2,3-6,FALSE,3,3-6,6-1,6-2,TRUE,TRUE,262,129,133,5,0,5
4-6 6-1 6-2,4-6,FALSE,3,4-6,6-1,6-2,TRUE,TRUE,340,146,194,5,4,1
5-7 6-1 6-2,5-7,FALSE,3,5-7,6-1,6-2,TRUE,TRUE,120,48,72,2,0,2
6-7 6-1 6-2,6-7,FALSE,3,6-7,6-1,6-2,TRUE,TRUE,171,78,93,5,2,3
0-6 6-2 6-2,0-6,FALSE,3,0-6,6-2,6-2,TRUE,FALSE,33,15,18,0,0,0
1-6 6-2 6-2,1-6,FALSE,3,1-6,6-2,6-2,TRUE,TRUE,98,38,60,4,3,1
2-6 6-2 6-2,2-6,FALSE,3,2-6,6-2,6-2,TRUE,TRUE,181,63,118,4,1,3
3-6 6-2 6-2,3-6,FALSE,3,3-6,6-2,6-2,TRUE,TRUE,288,118,170,2,1,1
4-6 6-2 6-2,4-6,FALSE,3,4-6,6-2,6-2,TRUE,TRUE,355,153,202,7,2,5
5-7 6-2 6-2,5-7,FALSE,3,5-7,6-2,6-2,TRUE,TRUE,152,65,87,5,1,4
6-7 6-2 6-2,6-7,FALSE,3,6-7,6-2,6-2,TRUE,FALSE,220,125,95,0,0,0
0-6 6-3 6-2,0-6,FALSE,3,0-6,6-3,6-2,TRUE,FALSE,41,12,29,0,0,0
1-6 6-3 6-2,1-6,FALSE,3,1-6,6-3,6-2,TRUE,TRUE,190,85,105,6,3,3
2-6 6-3 6-2,2-6,FALSE,3,2-6,6-3,6-2,TRUE,TRUE,333,151,182,6,4,2
3-6 6-3 6-2,3-6,FALSE,3,3-6,6-3,6-2,TRUE,TRUE,583,336,247,8,3,5
4-6 6-3 6-2,4-6,FALSE,3,4-6,6-3,6-2,TRUE,TRUE,655,381,274,15,5,10
5-7 6-3 6-2,5-7,FALSE,3,5-7,6-3,6-2,TRUE,TRUE,210,101,109,5,2,3
6-7 6-3 6-2,6-7,FALSE,3,6-7,6-3,6-2,TRUE,TRUE,303,195,108,4,4,0
0-6 6-4 6-2,0-6,FALSE,3,0-6,6-4,6-2,TRUE,FALSE,50,28,22,0,0,0
1-6 6-4 6-2,1-6,FALSE,3,1-6,6-4,6-2,TRUE,TRUE,168,73,95,7,2,5
2-6 6-4 6-2,2-6,FALSE,3,2-6,6-4,6-2,TRUE,TRUE,289,125,164,4,1,3
3-6 6-4 6-2,3-6,FALSE,3,3-6,6-4,6-2,TRUE,TRUE,396,162,234,5,0,5
4-6 6-4 6-2,4-6,FALSE,3,4-6,6-4,6-2,TRUE,TRUE,425,201,224,13,7,6
5-7 6-4 6-2,5-7,FALSE,3,5-7,6-4,6-2,TRUE,TRUE,235,122,113,3,1,2
6-7 6-4 6-2,6-7,FALSE,3,6-7,6-4,6-2,TRUE,TRUE,347,215,132,8,6,2
0-6 7-5 6-2,0-6,FALSE,3,0-6,7-5,6-2,TRUE,TRUE,22,7,15,1,0,1
1-6 7-5 6-2,1-6,FALSE,3,1-6,7-5,6-2,TRUE,FALSE,71,24,47,0,0,0
2-6 7-5 6-2,2-6,FALSE,3,2-6,7-5,6-2,TRUE,TRUE,122,54,68,1,0,1
3-6 7-5 6-2,3-6,FALSE,3,3-6,7-5,6-2,TRUE,TRUE,198,98,100,5,4,1
4-6 7-5 6-2,4-6,FALSE,3,4-6,7-5,6-2,TRUE,TRUE,237,95,142,9,3,6
5-7 7-5 6-2,5-7,FALSE,3,5-7,7-5,6-2,TRUE,FALSE,93,41,52,0,0,0
6-7 7-5 6-2,6-7,FALSE,3,6-7,7-5,6-2,TRUE,TRUE,139,69,70,3,1,2
0-6 7-6 6-2,0-6,FALSE,3,0-6,7-6,6-2,TRUE,FALSE,28,10,18,0,0,0
1-6 7-6 6-2,1-6,FALSE,3,1-6,7-6,6-2,TRUE,TRUE,99,58,41,6,4,2
2-6 7-6 6-2,2-6,FALSE,3,2-6,7-6,6-2,TRUE,TRUE,157,80,77,2,1,1
3-6 7-6 6-2,3-6,FALSE,3,3-6,7-6,6-2,TRUE,TRUE,274,164,110,5,3,2
4-6 7-6 6-2,4-6,FALSE,3,4-6,7-6,6-2,TRUE,TRUE,307,190,117,6,5,1
5-7 7-6 6-2,5-7,FALSE,3,5-7,7-6,6-2,TRUE,TRUE,110,66,44,3,1,2
6-7 7-6 6-2,6-7,FALSE,3,6-7,7-6,6-2,TRUE,TRUE,214,144,70,4,3,1
0-6 6-0 6-3,0-6,FALSE,3,0-6,6-0,6-3,TRUE,FALSE,5,0,5,0,0,0
